SETTLEMENTDATE,REGION,TOTALDEMAND,RRP,PERIODTYPE
2024-12-01 00:00:00,NSW1,7100.34,122.05,TRADE
2024-12-01 00:05:00,NSW1,7020.14,105.61,TRADE
2024-12-01 00:10:00,NSW1,7049.46,104.95,TRADE
2024-12-01 00:15:00,NSW1,6996.36,110.02,TRADE
2024-12-01 00:20:00,NSW1,6924.1,104.5,TRADE
2024-12-01 00:25:00,NSW1,6894.04,104.89,TRADE
2024-12-01 00:30:00,NSW1,6968.97,99.06,TRADE
2024-12-01 00:35:00,NSW1,6814.75,104.89,TRADE
2024-12-01 00:40:00,NSW1,6834.39,119.05,TRADE
2024-12-01 00:45:00,NSW1,6803.91,106.54,TRADE
2024-12-01 00:50:00,NSW1,6781.37,104.97,TRADE
2024-12-01 00:55:00,NSW1,6629.15,110.02,TRADE
2024-12-01 01:00:00,NSW1,6651.32,110.02,TRADE
2024-12-01 01:05:00,NSW1,6624.54,110.02,TRADE
2024-12-01 01:10:00,NSW1,6634.64,110.02,TRADE
2024-12-01 01:15:00,NSW1,6608.8,114.37,TRADE
2024-12-01 01:20:00,NSW1,6596.55,115.17,TRADE
2024-12-01 01:25:00,NSW1,6533.37,110.02,TRADE
2024-12-01 01:30:00,NSW1,6494.44,110.02,TRADE
2024-12-01 01:35:00,NSW1,6472.55,112.57,TRADE
2024-12-01 01:40:00,NSW1,6457.5,148.0,TRADE
2024-12-01 01:45:00,NSW1,6480.73,110.02,TRADE
2024-12-01 01:50:00,NSW1,6422.28,117.08,TRADE
2024-12-01 01:55:00,NSW1,6454.06,108.43,TRADE
2024-12-01 02:00:00,NSW1,6371.04,110.02,TRADE
2024-12-01 02:05:00,NSW1,6420.19,110.02,TRADE
2024-12-01 02:10:00,NSW1,6392.78,104.39,TRADE
2024-12-01 02:15:00,NSW1,6383.8,94.39,TRADE
2024-12-01 02:20:00,NSW1,6312.35,95.08,TRADE
2024-12-01 02:25:00,NSW1,6355.79,103.52,TRADE
2024-12-01 02:30:00,NSW1,6373.46,87.73,TRADE
2024-12-01 02:35:00,NSW1,6370.77,102.62,TRADE
2024-12-01 02:40:00,NSW1,6274.43,100.29,TRADE
2024-12-01 02:45:00,NSW1,6295.89,102.16,TRADE
2024-12-01 02:50:00,NSW1,6299.53,100.42,TRADE
2024-12-01 02:55:00,NSW1,6314.7,102.63,TRADE
2024-12-01 03:00:00,NSW1,6319.36,103.23,TRADE
2024-12-01 03:05:00,NSW1,6198.21,89.12,TRADE
2024-12-01 03:10:00,NSW1,6302.53,110.02,TRADE
2024-12-01 03:15:00,NSW1,6287.89,106.0,TRADE
2024-12-01 03:20:00,NSW1,6293.62,103.19,TRADE
2024-12-01 03:25:00,NSW1,6267.32,102.01,TRADE
2024-12-01 03:30:00,NSW1,6219.78,87.5,TRADE
2024-12-01 03:35:00,NSW1,6217.51,80.0,TRADE
2024-12-01 03:40:00,NSW1,6264.18,87.5,TRADE
2024-12-01 03:45:00,NSW1,6152.53,80.0,TRADE
2024-12-01 03:50:00,NSW1,6251.71,87.5,TRADE
2024-12-01 03:55:00,NSW1,6225.28,87.5,TRADE
2024-12-01 04:00:00,NSW1,6168.6,87.5,TRADE
2024-12-01 04:05:00,NSW1,6245.81,112.78,TRADE
2024-12-01 04:10:00,NSW1,6322.9,114.36,TRADE
2024-12-01 04:15:00,NSW1,6321.72,110.02,TRADE
2024-12-01 04:20:00,NSW1,6277.58,110.02,TRADE
2024-12-01 04:25:00,NSW1,6299.76,110.02,TRADE
2024-12-01 04:30:00,NSW1,6290.16,105.32,TRADE
2024-12-01 04:35:00,NSW1,6234.38,80.0,TRADE
2024-12-01 04:40:00,NSW1,6288.96,80.0,TRADE
2024-12-01 04:45:00,NSW1,6273.95,80.0,TRADE
2024-12-01 04:50:00,NSW1,6239.06,80.0,TRADE
2024-12-01 04:55:00,NSW1,6216.26,80.0,TRADE
2024-12-01 05:00:00,NSW1,6259.81,87.89,TRADE
2024-12-01 05:05:00,NSW1,6209.1,80.0,TRADE
2024-12-01 05:10:00,NSW1,6223.07,80.0,TRADE
2024-12-01 05:15:00,NSW1,6122.09,80.0,TRADE
2024-12-01 05:20:00,NSW1,6219.7,80.0,TRADE
2024-12-01 05:25:00,NSW1,6176.33,83.65,TRADE
2024-12-01 05:30:00,NSW1,6234.86,87.5,TRADE
2024-12-01 05:35:00,NSW1,6182.23,87.5,TRADE
2024-12-01 05:40:00,NSW1,6300.24,81.14,TRADE
2024-12-01 05:45:00,NSW1,6340.03,87.5,TRADE
2024-12-01 05:50:00,NSW1,6186.47,76.0,TRADE
2024-12-01 05:55:00,NSW1,6264.23,78.17,TRADE
2024-12-01 06:00:00,NSW1,6242.24,76.58,TRADE
2024-12-01 06:05:00,NSW1,6217.87,74.26,TRADE
2024-12-01 06:10:00,NSW1,6213.02,56.98,TRADE
2024-12-01 06:15:00,NSW1,6175.3,73.83,TRADE
