REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2024-10-01 00:05:00,7403.93,104.1,TRADE
NSW1,2024-10-01 00:10:00,7428.33,104.2,TRADE
NSW1,2024-10-01 00:15:00,7348.39,103.59,TRADE
NSW1,2024-10-01 00:20:00,7352.13,103.23,TRADE
NSW1,2024-10-01 00:25:00,7363.21,103.98,TRADE
NSW1,2024-10-01 00:30:00,7249.99,86.34,TRADE
NSW1,2024-10-01 00:35:00,7179.77,106.43,TRADE
NSW1,2024-10-01 00:40:00,7262.76,106.8,TRADE
NSW1,2024-10-01 00:45:00,7179.43,87.89,TRADE
NSW1,2024-10-01 00:50:00,7225.12,104.47,TRADE
NSW1,2024-10-01 00:55:00,7073.69,87.89,TRADE
NSW1,2024-10-01 01:00:00,7084.44,100.11,TRADE
NSW1,2024-10-01 01:05:00,7122.48,104.23,TRADE
NSW1,2024-10-01 01:10:00,7119.37,103.49,TRADE
NSW1,2024-10-01 01:15:00,7076.98,87.5,TRADE
NSW1,2024-10-01 01:20:00,7073.4,87.89,TRADE
NSW1,2024-10-01 01:25:00,7038.42,87.89,TRADE
NSW1,2024-10-01 01:30:00,6954.88,83.81,TRADE
NSW1,2024-10-01 01:35:00,6860.03,87.89,TRADE
NSW1,2024-10-01 01:40:00,6909.62,90.54,TRADE
NSW1,2024-10-01 01:45:00,6866.31,87.89,TRADE
NSW1,2024-10-01 01:50:00,6811.2,84.48,TRADE
NSW1,2024-10-01 01:55:00,6743.79,76.0,TRADE
NSW1,2024-10-01 02:00:00,6784.68,76.0,TRADE
NSW1,2024-10-01 02:05:00,6724.12,76.0,TRADE
NSW1,2024-10-01 02:10:00,6702.54,91.22,TRADE
NSW1,2024-10-01 02:15:00,6674.94,73.1,TRADE
NSW1,2024-10-01 02:20:00,6638.2,70.51,TRADE
NSW1,2024-10-01 02:25:00,6592.95,76.0,TRADE
NSW1,2024-10-01 02:30:00,6579.37,73.46,TRADE
NSW1,2024-10-01 02:35:00,6611.16,80.52,TRADE
NSW1,2024-10-01 02:40:00,6591.01,85.6,TRADE
NSW1,2024-10-01 02:45:00,6515.06,87.5,TRADE
NSW1,2024-10-01 02:50:00,6468.79,87.5,TRADE
NSW1,2024-10-01 02:55:00,6466.06,94.39,TRADE
NSW1,2024-10-01 03:00:00,6452.55,93.71,TRADE
NSW1,2024-10-01 03:05:00,6348.44,76.0,TRADE
NSW1,2024-10-01 03:10:00,6365.15,103.0,TRADE
NSW1,2024-10-01 03:15:00,6428.65,103.0,TRADE
NSW1,2024-10-01 03:20:00,6383.74,103.0,TRADE
NSW1,2024-10-01 03:25:00,6419.23,103.0,TRADE
NSW1,2024-10-01 03:30:00,6396.95,99.05,TRADE
NSW1,2024-10-01 03:35:00,6416.94,95.03,TRADE
NSW1,2024-10-01 03:40:00,6472.08,103.0,TRADE
NSW1,2024-10-01 03:45:00,6460.32,103.0,TRADE
NSW1,2024-10-01 03:50:00,6410.85,103.0,TRADE
NSW1,2024-10-01 03:55:00,6409.64,103.0,TRADE
NSW1,2024-10-01 04:00:00,6419.7,105.74,TRADE
NSW1,2024-10-01 04:05:00,6448.82,71.81,TRADE
NSW1,2024-10-01 04:10:00,6447.21,73.13,TRADE
NSW1,2024-10-01 04:15:00,6404.57,75.8,TRADE
NSW1,2024-10-01 04:20:00,6382.41,76.72,TRADE
NSW1,2024-10-01 04:25:00,6442.21,76.72,TRADE
NSW1,2024-10-01 04:30:00,6479.43,76.72,TRADE
NSW1,2024-10-01 04:35:00,6487.57,76.0,TRADE
NSW1,2024-10-01 04:40:00,6507.47,76.72,TRADE
NSW1,2024-10-01 04:45:00,6514.64,76.72,TRADE
NSW1,2024-10-01 04:50:00,6539.44,76.72,TRADE
NSW1,2024-10-01 04:55:00,6625.79,80.45,TRADE
NSW1,2024-10-01 05:00:00,6635.4,80.22,TRADE
NSW1,2024-10-01 05:05:00,6619.35,73.53,TRADE
NSW1,2024-10-01 05:10:00,6709.98,76.0,TRADE
NSW1,2024-10-01 05:15:00,6747.69,76.0,TRADE
NSW1,2024-10-01 05:20:00,6779.25,92.07,TRADE
NSW1,2024-10-01 05:25:00,6827.98,76.72,TRADE
NSW1,2024-10-01 05:30:00,6767.15,76.38,TRADE
NSW1,2024-10-01 05:35:00,6767.23,75.8,TRADE
NSW1,2024-10-01 05:40:00,6888.09,76.72,TRADE
NSW1,2024-10-01 05:45:00,6861.45,76.0,TRADE
NSW1,2024-10-01 05:50:00,6897.01,80.0,TRADE
NSW1,2024-10-01 05:55:00,6891.57,80.22,TRADE
NSW1,2024-10-01 06:00:00,6924.78,76.72,TRADE
NSW1,2024-10-01 06:05:00,6945.66,76.72,TRADE
NSW1,2024-10-01 06:10:00,7020.55,80.22,TRADE
NSW1,2024-10-01 06:15:00,7074.5,76.0,TRADE
NSW1,2024-10-01 06:20:00,7122.86,76.0,TRADE
NSW1,2024-10-01 06:25:00,7020.58,76.22,TRADE
NSW1,2024-10-01 06:30:00,7055.92,76.0,TRADE
NSW1,2024-10-01 06:35:00,7087.2,73.04,TRADE
NSW1,2024-10-01 06:40:00,7109.27,60.1,TRADE
NSW1,2024-10-01 06:45:00,7032.6,57.73,TRADE
NSW1,2024-10-01 06:50:00,7028.96,56.28,TRADE
NSW1,2024-10-01 06:55:00,6907.81,9.76,TRADE
NSW1,2024-10-01 07:00:00,6830.97,12.88,TRADE
NSW1,2024-10-01 07:05:00,6751.69,0.17,TRADE
NSW1,2024-10-01 07:10:00,6717.9,0.0,TRADE
NSW1,2024-10-01 07:15:00,6690.15,0.0,TRADE
NSW1,2024-10-01 07:20:00,6732.97,0.0,TRADE
NSW1,2024-10-01 07:25:00,6703.35,0.0,TRADE
NSW1,2024-10-01 07:30:00,6648.58,0.16,TRADE
